index,date,Open,High,Low,Close,Volume
1134,2023-11-06,56.99,58.65,56.99,57.49,557644.0
1135,2023-11-07,57.49,59.88,56.0,56.49,1428677.0
1136,2023-11-08,56.05,57.25,55.85,55.99,739300.0
1137,2023-11-10,56.35,59.5,56.27,58.57,2067753.0
1138,2023-11-13,59.25,61.68,59.25,60.71,1753643.0
1139,2023-11-14,61.77,61.77,59.62,59.89,578433.0
1140,2023-11-15,59.21,60.0,59.06,59.4,403249.0
1141,2023-11-16,59.4,61.25,59.02,60.07,1059518.0
1142,2023-11-17,62.0,62.8,55.56,61.03,2321968.0
1143,2023-11-20,61.5,61.7,60.4,61.08,655302.0
1144,2023-11-21,61.17,63.01,61.17,62.14,1445410.0
1145,2023-11-22,62.5,64.0,62.5,63.5,1334834.0
1146,2023-11-23,64.0,66.45,64.0,65.06,916523.0
1147,2023-11-24,66.15,66.5,65.0,65.91,1185458.0
1148,2023-11-27,66.11,70.0,66.11,69.48,2299576.0
1149,2023-11-28,70.01,70.87,69.15,69.47,525211.0
1150,2023-11-29,69.0,70.0,66.0,66.31,1792779.0
1151,2023-11-30,66.33,67.71,65.6,67.06,471036.0
1152,2023-12-01,66.99,72.09,66.99,72.0,2639172.0
1153,2023-12-04,74.5,77.0,73.27,74.46,3015300.0
1154,2023-12-05,74.9,74.98,73.03,73.25,662740.0
1155,2023-12-06,73.11,74.2,73.11,73.66,485335.0
1156,2023-12-07,73.66,74.1,71.22,72.75,556191.0
1157,2023-12-08,73.69,76.0,72.72,75.25,2029848.0
1158,2023-12-11,75.75,76.49,73.99,74.6,562418.0
1159,2023-12-12,75.2,75.2,73.5,73.67,532262.0
1160,2023-12-13,73.94,74.42,72.5,72.67,474913.0
1161,2023-12-14,72.54,72.55,70.36,70.86,428162.0
1162,2023-12-15,70.87,71.5,69.9,70.15,570232.0
1163,2023-12-18,70.26,71.8,69.05,69.32,447514.0
1164,2023-12-19,69.3,69.31,65.89,67.37,824555.0
1165,2023-12-20,66.5,68.74,66.35,67.06,817372.0
1166,2023-12-21,67.4,70.89,66.52,69.99,362705.0
1167,2023-12-22,70.9,72.4,70.06,70.73,887941.0
1168,2023-12-26,72.11,72.11,65.95,66.92,1092454.0
1169,2023-12-27,66.9,68.0,65.98,67.41,1456386.0
1170,2023-12-28,67.9,71.5,67.9,70.81,974654.0
1171,2023-12-29,70.5,72.5,69.5,72.0,468924.0
1172,2024-01-01,72.15,73.49,72.15,72.56,337503.0
1173,2024-01-02,72.75,73.0,71.75,72.09,252557.0
1174,2024-01-03,72.48,75.19,71.02,74.46,919964.0
